bin,comparator_regression_count,comparator_regression_rate,comparison,from_t,interpretable,paired_difference,seed,selective_regression_count,selective_regression_rate,support_count,to_t
"[0.4,0.6)",,nan,symmetric_kl,1,False,nan,5,,nan,1,2
"[0.6,0.8)",,nan,symmetric_kl,1,False,nan,5,,nan,4,2
"[0.8,0.9)",,nan,symmetric_kl,1,False,nan,5,,nan,3,2
"[0.9,1.000001)",,0.020412329046744233,symmetric_kl,1,True,0.020412329046744233,5,,0.04082465809348847,4899,2
eligible>=0.6,4,0.05221250489492233,symmetric_kl,2,True,0.02610625244746117,5,6,0.0783187573423835,7661,3
"[0.0,0.4)",,nan,symmetric_kl,2,False,nan,5,,nan,0,3
"[0.4,0.6)",,nan,symmetric_kl,2,False,nan,5,,nan,0,3
"[0.6,0.8)",,nan,symmetric_kl,2,False,nan,5,,nan,2,3
"[0.8,0.9)",,nan,symmetric_kl,2,False,nan,5,,nan,3,3
"[0.9,1.000001)",,0.0,symmetric_kl,2,True,0.014515894904920888,5,,0.014515894904920888,6889,3
eligible>=0.6,1,0.011407711613050422,symmetric_kl,3,True,0.0,5,1,0.011407711613050422,8766,4
"[0.0,0.4)",,nan,symmetric_kl,3,False,nan,5,,nan,0,4
"[0.4,0.6)",,nan,symmetric_kl,3,False,nan,5,,nan,3,4
"[0.6,0.8)",,nan,symmetric_kl,3,False,nan,5,,nan,4,4
"[0.8,0.9)",,nan,symmetric_kl,3,False,nan,5,,nan,1,4
"[0.9,1.000001)",,0.0,symmetric_kl,3,True,0.0,5,,0.0,8012,4
eligible>=0.6,1,0.010534077741493732,symmetric_kl,4,True,0.0,5,1,0.010534077741493732,9493,5
"[0.0,0.4)",,nan,symmetric_kl,4,False,nan,5,,nan,0,5
"[0.4,0.6)",,nan,symmetric_kl,4,False,nan,5,,nan,0,5
"[0.6,0.8)",,nan,symmetric_kl,4,False,nan,5,,nan,12,5
"[0.8,0.9)",,nan,symmetric_kl,4,False,nan,5,,nan,4,5
"[0.9,1.000001)",,0.0,symmetric_kl,4,True,0.0,5,,0.0,9028,5
eligible>=0.6,0,0.0,symmetric_kl,5,True,0.0,5,0,0.0,9734,6
"[0.0,0.4)",,nan,symmetric_kl,5,False,nan,5,,nan,0,6
"[0.4,0.6)",,nan,symmetric_kl,5,False,nan,5,,nan,5,6
"[0.6,0.8)",,nan,symmetric_kl,5,False,nan,5,,nan,12,6
"[0.8,0.9)",,nan,symmetric_kl,5,False,nan,5,,nan,13,6
"[0.9,1.000001)",,0.0,symmetric_kl,5,True,0.0,5,,0.0,9438,6
eligible>=0.6,2,0.02046245140167792,symmetric_kl,6,True,-0.02046245140167792,5,0,0.0,9774,7
"[0.0,0.4)",,nan,symmetric_kl,6,False,nan,5,,nan,0,7
"[0.4,0.6)",,nan,symmetric_kl,6,False,nan,5,,nan,4,7
"[0.6,0.8)",,nan,symmetric_kl,6,False,nan,5,,nan,18,7
"[0.8,0.9)",,nan,symmetric_kl,6,False,nan,5,,nan,15,7
"[0.9,1.000001)",,0.0,symmetric_kl,6,True,0.0,5,,0.0,9510,7
eligible>=0.6,3,0.03055923398186819,symmetric_kl,7,True,0.020372822654578793,5,5,0.05093205663644698,9817,8
"[0.0,0.4)",,nan,symmetric_kl,7,False,nan,5,,nan,0,8
"[0.4,0.6)",,nan,symmetric_kl,7,False,nan,5,,nan,3,8
"[0.6,0.8)",,nan,symmetric_kl,7,False,nan,5,,nan,23,8
"[0.8,0.9)",,nan,symmetric_kl,7,False,nan,5,,nan,15,8
"[0.9,1.000001)",,0.0,symmetric_kl,7,True,0.0,5,,0.0,9602,8
